"","Date","Year","Month","Day_num","Day","DayNight","ParkID","game_result","opponent","home_away","bal_runs","bal_BA","bal_AB","bal_H","bal_doubles","bal_triples","bal_HR","bal_RBI","bal_sac_hits","bal_sac_fly","bal_HBP","bal_BB","bal_IBB","bal_hitters_K","bal_SB","bal_CS","bal_GDP","bal_LOB","bal_num_pitchers","bal_team_ER","bal_WP","bal_balks","bal_assists","bal_errors","bal_pass_balls","bal_double_play","bal_triple_play","opp_runs","opp_BA","opp_AB","opp_H","opp_doubles","opp_triples","opp_HR","opp_RBI","opp_sac_hits","opp_sac_fly","opp_HBP","opp_BB","opp_IBB","opp_hitters_K","opp_SB","opp_CS","opp_GDP","opp_LOB","opp_num_pitchers","opp_team_ER","opp_WP","opp_balks","opp_assists","opp_errors","opp_pass_balls","opp_douple_play","opp_triple_play","city","bird_season","lat","long","range_flag"
"1",20210601,"2021","06","01","Tue","N","BAL12","Win","MIN","Home",7,0.312,32,10,1,1,2,7,0,0,0,4,0,4,2,0,2,5,5,4,0,0,10,0,0,0,0,4,0.278,36,10,3,0,2,4,0,0,1,5,0,12,0,0,0,11,4,7,0,0,12,0,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"2",20210602,"2021","06","02","Wed","N","BAL12","Win","MIN","Home",6,0.333,33,11,2,0,2,5,0,0,1,4,0,5,0,0,1,8,4,3,1,0,10,0,0,1,0,3,0.194,31,6,1,1,1,3,0,1,0,3,0,9,0,0,1,5,5,6,0,0,8,1,1,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"3",20210604,"2021","06","04","Fri","N","BAL12","Win","CLE","Home",3,0.25,28,7,1,0,1,3,0,1,0,3,1,7,0,0,2,5,5,1,0,0,8,0,0,0,0,1,0.229,35,8,0,1,0,1,0,0,0,1,0,10,1,0,0,8,5,3,1,0,9,1,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"4",20210605,"2021","06","05","Sat","D","BAL12","Loss","CLE","Home",4,0.289,38,11,1,0,3,4,0,0,1,0,0,8,0,0,0,8,5,9,0,0,6,0,1,0,0,10,0.341,41,14,3,0,3,9,0,0,0,0,0,11,0,0,0,4,5,4,0,0,7,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"5",20210606,"2021","06","06","Sun","D","BAL12","Win","CLE","Home",18,0.488,43,21,3,0,2,16,0,0,1,3,0,6,0,0,2,5,4,5,1,0,10,0,0,2,0,5,0.242,33,8,3,0,2,5,0,0,1,3,0,7,0,0,2,5,6,16,1,0,9,1,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"6",20210608,"2021","06","08","Tue","N","BAL12","Win","NYN","Home",10,0.41,39,16,7,0,2,10,0,0,0,3,0,9,0,0,1,8,4,3,0,0,7,0,0,1,0,3,0.133,30,4,0,0,2,3,0,0,0,2,0,9,0,0,1,2,4,10,1,0,8,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"7",20210609,"2021","06","09","Wed","N","BAL12","Loss","NYN","Home",1,0.188,32,6,1,0,0,1,0,0,0,1,0,10,0,0,1,5,5,14,0,0,11,0,0,3,0,14,0.4,40,16,4,0,6,14,0,0,1,2,0,8,0,0,3,2,3,1,0,0,9,0,1,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"8",20210611,"2021","06","11","Fri","N","STP01","Loss","TBA","Away",2,0.129,31,4,1,0,1,2,0,0,0,2,0,8,0,0,0,4,4,4,2,0,9,0,0,1,0,4,0.29,31,9,1,0,1,4,0,0,0,4,0,8,1,0,1,7,4,2,0,0,9,0,0,0,0,"Tampa","Breeding",27.9477595,-82.458444,"Out of Range"
"9",20210612,"2021","06","12","Sat","D","STP01","Loss","TBA","Away",4,0.194,31,6,0,0,1,4,0,0,0,3,0,11,1,0,2,3,5,5,0,0,5,2,0,0,0,5,0.273,33,9,2,0,0,5,0,0,1,4,0,12,1,1,0,9,5,4,1,0,7,0,0,2,0,"Tampa","Breeding",27.9477595,-82.458444,"Out of Range"
"10",20210613,"2021","06","13","Sun","D","STP01","Loss","TBA","Away",1,0.077,26,2,0,0,0,1,1,0,1,2,0,7,0,1,1,2,3,7,0,0,8,1,0,0,0,7,0.303,33,10,0,0,1,7,0,0,0,5,1,5,1,1,0,7,5,1,0,0,16,0,0,1,0,"Tampa","Breeding",27.9477595,-82.458444,"Out of Range"
"11",20210614,"2021","06","14","Mon","N","CLE08","Loss","CLE","Away",3,0.167,30,5,1,0,0,3,0,0,0,4,0,11,2,0,2,4,3,3,1,0,12,2,1,2,0,4,0.185,27,5,1,0,0,4,0,1,1,0,0,4,0,0,2,1,5,3,1,0,8,0,0,2,0,"Cleveland","Breeding",41.4996574,-81.6936772,"In Range"
"12",20210615,"2021","06","15","Tue","N","CLE08","Loss","CLE","Away",2,0.206,34,7,2,0,0,2,0,0,0,1,0,14,0,0,1,6,4,6,0,0,6,4,0,0,0,7,0.27,37,10,2,0,1,6,0,0,0,3,0,6,1,0,0,9,6,2,0,0,7,1,0,1,0,"Cleveland","Breeding",41.4996574,-81.6936772,"In Range"
"13",20210616,"2021","06","16","Wed","N","CLE08","Loss","CLE","Away",7,0.316,38,12,2,0,1,7,0,0,1,3,0,9,0,1,1,8,3,8,0,0,6,1,0,0,0,8,0.281,32,9,2,1,1,8,0,0,2,4,0,9,0,1,0,6,5,6,0,0,7,1,1,1,0,"Cleveland","Breeding",41.4996574,-81.6936772,"In Range"
"14",20210617,"2021","06","17","Thu","D","CLE08","Loss","CLE","Away",3,0.229,35,8,1,0,2,3,0,0,2,0,0,13,0,0,0,8,4,10,0,0,6,0,0,0,0,10,0.351,37,13,2,0,4,10,0,0,0,3,0,8,0,0,0,6,6,3,0,0,5,1,0,0,0,"Cleveland","Breeding",41.4996574,-81.6936772,"In Range"
"15",20210618,"2021","06","18","Fri","N","BAL12","Win","TOR","Home",7,0.343,35,12,1,0,2,7,0,0,2,2,0,9,1,0,1,8,5,1,1,0,12,0,0,0,0,1,0.129,31,4,0,0,1,1,0,0,0,2,0,10,0,0,0,5,4,7,2,0,6,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"16",20210619,"2021","06","19","Sat","D","BAL12","Loss","TOR","Home",7,0.25,36,9,0,0,6,7,0,0,1,2,0,12,0,0,0,5,5,10,0,0,7,0,0,1,0,10,0.286,35,10,2,0,3,9,0,0,0,6,0,10,0,1,1,4,4,7,0,0,9,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"17",20210620,"2021","06","20","Sun","D","BAL12","Loss","TOR","Home",4,0.161,31,5,0,0,3,4,0,0,1,2,0,5,0,0,1,3,4,7,2,0,9,0,0,0,0,7,0.341,41,14,6,0,0,7,0,0,0,5,0,9,1,0,0,12,3,4,0,0,15,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"18",20210621,"2021","06","21","Mon","N","BAL12","Loss","HOU","Home",2,0.067,30,2,0,0,1,2,0,0,1,1,0,15,0,0,0,3,5,7,0,0,11,1,0,2,0,10,0.351,37,13,3,0,1,10,0,2,0,8,0,12,0,0,2,10,4,2,0,0,3,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"19",20210622,"2021","06","22","Tue","N","BAL12","Loss","HOU","Home",1,0.2,30,6,1,0,0,1,0,1,0,1,0,8,0,0,2,4,5,3,0,0,9,0,0,1,0,3,0.242,33,8,1,0,1,3,0,1,0,4,0,10,0,0,1,8,3,1,0,0,7,0,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"20",20210623,"2021","06","23","Wed","N","BAL12","Loss","HOU","Home",0,0.194,31,6,2,0,0,0,0,0,0,3,0,7,0,0,2,7,3,13,0,0,5,0,0,0,0,13,0.395,43,17,3,0,4,13,0,0,0,6,0,5,0,1,0,9,3,0,0,0,8,0,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"21",20210624,"2021","06","24","Thu","N","BUF05","Loss","TOR","Away",0,0.206,34,7,1,0,0,0,0,0,0,3,0,10,0,0,0,10,4,9,0,0,7,1,0,1,0,9,0.294,34,10,3,0,2,9,0,0,0,5,0,7,0,0,0,6,5,0,0,0,6,0,0,0,0,"Toronto","Breeding",43.6534817,-79.3839347,"In Range"
"22",20210625,"2021","06","25","Fri","N","BUF05","Win","TOR","Away",6,0.211,38,8,2,0,0,5,0,0,0,7,0,10,0,0,1,10,5,5,1,0,16,0,1,1,0,5,0.237,38,9,1,1,2,5,0,0,0,2,0,8,0,0,1,6,6,4,0,0,7,1,0,1,0,"Toronto","Breeding",43.6534817,-79.3839347,"In Range"
"23",20210626,"2021","06","26","Sat","D","BUF05","Loss","TOR","Away",4,0.212,33,7,2,0,0,4,0,0,0,2,0,5,0,0,1,4,3,12,0,0,7,0,0,0,0,12,0.385,39,15,4,0,3,12,0,0,0,4,0,4,0,0,0,7,3,4,0,0,8,0,0,1,0,"Toronto","Breeding",43.6534817,-79.3839347,"In Range"
"24",20210627,"2021","06","27","Sun","D","BUF05","Loss","TOR","Away",2,0.206,34,7,1,0,1,2,0,0,0,3,0,8,0,0,1,8,3,5,0,0,8,0,0,3,0,5,0.375,32,12,3,0,0,4,0,0,0,4,0,8,0,0,3,7,5,2,0,0,10,1,0,1,0,"Toronto","Breeding",43.6534817,-79.3839347,"In Range"
